City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,inirida,3.8653,-67.9239,23.23,90,94,0.65,CO,1676516428
163,srednekolymsk,67.45,153.6833,-33.27,94,99,1.28,RU,1676516429
164,luanda,-8.8368,13.2343,26.0,78,40,1.54,AO,1676516380
165,tual,-5.6667,132.75,27.87,79,100,6.76,ID,1676516429
166,romitan,39.9343,64.3814,5.97,100,75,1.03,UZ,1676516430
167,severo-kurilsk,50.6789,156.125,-3.13,90,99,14.27,RU,1676516384
168,shu,43.5983,73.7614,-2.37,94,100,0.74,KZ,1676516431
169,souillac,-20.5167,57.5167,24.21,88,40,0.51,MU,1676516432
170,vyyezdnoye,55.3815,43.7864,-10.88,96,98,3.07,RU,1676516432
171,san quintin,30.4833,-115.95,12.35,50,6,3.05,MX,1676516433
172,vao,-22.6667,167.4833,24.08,62,78,5.01,NC,1676516340
173,santa cruz,-17.8,-63.1667,23.7,83,75,2.06,BO,1676516406
174,coquimbo,-29.9533,-71.3436,15.85,94,20,3.09,CL,1676515996
175,kruisfontein,-34.0033,24.7314,18.27,87,73,2.23,ZA,1676516434
176,grindavik,63.8424,-22.4338,0.26,100,75,6.17,IS,1676516434
177,flin flon,54.7682,-101.865,-30.42,100,53,1.78,CA,1676516435
178,narsaq,60.9167,-46.05,-9.71,68,100,3.03,GL,1676516314
179,kapaa,22.0752,-159.319,23.18,81,40,6.17,US,1676516307
180,longyearbyen,78.2186,15.6401,-2.09,69,20,10.29,SJ,1676516435
181,puerto ayora,-0.7393,-90.3518,25.86,92,16,1.46,EC,1676516436
182,ravar,31.2656,56.8055,16.93,21,29,8.93,IR,1676516436
183,borgarnes,64.5383,-21.9206,0.03,91,100,2.09,IS,1676516437
184,salinas,36.6777,-121.6555,9.45,65,0,0.45,US,1676516438
185,saskylakh,71.9167,114.0833,-17.26,97,100,3.37,RU,1676516439
186,kazanskaya,45.4106,40.4361,-7.4,96,49,1.79,RU,1676516439
187,tamiahua,21.2667,-97.45,20.98,94,0,4.76,MX,1676516439
188,nanortalik,60.1432,-45.2371,-4.58,76,100,1.9,GL,1676516440
189,abu dhabi,24.4667,54.3667,22.06,28,0,4.12,AE,1676516227
190,malaya serdoba,52.4661,44.9512,-10.96,95,100,4.09,RU,1676516441
